# ----------------------------------------
# gd-math-71c48
# Pre-Subscription Phase-Free-form 3
# 20260125-20260325
# ----------------------------------------

screenName,Event count
,100990,Grand total
Profile,37709
Home,24581
ProfileWizard,15007
Level,6244
Complete,3985
AgeGate,3779
Onboard,3340
Consent,2381
LevelsSelection,1278
About,1087
Subscription,776
Settings,586
PlayerReport,192
TimeOut,39
,5
Messages,1

