# ----------------------------------------
# gd-math-71c48
# New Impact of Drops on User Engagement-Free-form 1
# 20251020-20260311
# ----------------------------------------

App version,Average session duration,Events per session
,8121.381162301807,29.35546383449942,Grand total
v4.3.19,9618.014074002933,24.57272060620875
v4.3.22,9238.26199559375,257.65625
v4.3.15,8584.75678990022,25.52264359351988
v4.3.21,8517.633057601843,26.924257932446263
v4.3.12,8294.339973085016,27.753279515640767
v4.3.7,8083.387569134196,29.33174386920981
v4.3.5,6987.87324820825,26.64688128772636
v4.3.18,3147.4686529259257,238.88888888888889
v4.3.2,3024.169808710392,13.076660988074957
v4.3.14,3015.610964064516,151.90322580645162
v4.3.11,2213.9473004262295,129.85245901639345
v4.3.0,1654.9786118874345,13.61780104712042
v4.3.20,1585.5528870153846,179.7846153846154
v4.3.13,1323.5706767952754,147.39370078740157
v4.3.16,1163.4168794025973,191.1038961038961
v4.3.8,1148.414576047619,108.19047619047619
v4.3.9,921.9424453134329,64.23880597014926
v4.3.6,799.5714772857143,110.64285714285714
v4.3.10,461.5945073888889,43.44444444444444
v4.3.4,329.55732082352944,47.76470588235294
v4.3.17,52.444000800000005,14.6

