# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,avgBoardTime,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,avgBoardTime,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,avgBoardTime,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,avgBoardTime
stackUtensilsVehicles2AL,training,65,0,0,400,80,5,0,54,4013,66.88333333333334,300,300,5,0.22294444444444445,8,377,37.7,50,27,5,0.754,65,4390,29.266666666666666,750,407,5,0.03902222222222222
stackMultiStickInMultiSlot1To52AL,training,63,0,0,455,91,5,0,36,8167,194.45238095238096,210,210,5,0.9259637188208617,21,1790,74.58333333333333,120,64,5,0.6215277777777778,63,9957,63.4203821656051,785,365,5,0.08079029575236318
matchActivitiesWithObject2AL,training,61,0,0,1200,120,10,0,25,3860,133.10344827586206,290,290,10,0.4589774078478002,25,2481,51.6875,480,179,10,0.10768229166666667,61,6341,32.18781725888325,1970,589,10,0.016338993532428046
stackUtensilsVehicles2AL,speedrun,54,0,0,300,60,5,0,51,2388,43.41818181818182,275,254,5,0.15788429752066116,4,127,31.75,20,15,5,1.5875,54,2515,21.134453781512605,595,329,5,0.035520090389096814
mergeNumberUpTo9WithBAsTwoAL,training,51,0,0,352,88,4,0,27,4279,129.66666666666666,132,132,4,0.9823232323232323,26,4269,121.97142857142858,140,62,4,0.8712244897959184,51,8548,54.794871794871796,624,282,4,0.08781229454306377
simpleIdentifyApparelAndStationery2AL,training,47,0,0,250,50,5,0,38,1560,39,200,200,5,0.195,7,224,32,35,17,5,0.9142857142857144,47,1784,18.391752577319586,485,267,5,0.03792113933467956
stackingDifferentPairsOfSameValue202AL,speedrun,47,0,0,445,89,5,0,39,3410,52.46153846153846,325,290,5,0.16142011834319528,5,248,41.333333333333336,30,19,5,1.377777777777778,47,3658,22.8625,800,398,5,0.028578125
fractionMultiplication6AL,training,49,0,0,516,86,6,0,30,3642,79.17391304347827,276,276,6,0.2868620037807183,10,369,20.5,108,30,6,0.1898148148148148,49,4011,26.74,900,392,6,0.029711111111111112
smallBigFrom1To99NumbersAL,training,44,0,0,440,88,5,0,20,2513,81.06451612903226,155,155,5,0.5229968782518211,21,924,30.8,150,54,5,0.20533333333333334,44,3437,23.06711409395973,745,297,5,0.03096256925363722
simpleIdentifyApparelAndStationery2AL,speedrun,38,0,0,200,40,5,0,34,1367,37.97222222222222,180,176,5,0.21095679012345678,2,78,39,10,8,5,3.9,38,1445,18.525641025641026,390,224,5,0.04750164365548981
subtractionMissingAUpTo20AL,training,38,0,0,305,61,5,0,27,4585,117.56410256410257,195,195,5,0.6028928336620645,7,360,45,40,13,5,1.125,38,4945,45.78703703703704,540,269,5,0.08479080932784636
stackMultiStickInMultiSlot1To52AL,speedrun,36,0,0,210,42,5,0,26,3017,111.74074074074075,135,118,5,0.8277091906721536,5,306,61.2,25,13,5,2.448,36,3323,44.9054054054054,370,173,5,0.12136596055514974
fractionMultiplication6AL,speedrun,30,0,0,276,46,6,0,28,2193,60.916666666666664,216,211,6,0.2820216049382716,6,201,28.714285714285715,42,21,6,0.6836734693877551,30,2394,26.89887640449438,534,278,6,0.050372427723772255
sortRedGreenYellowWhiteBlackGray2AL,training,32,0,0,170,34,5,0,27,1202,44.51851851851852,135,135,5,0.3297668038408779,3,255,85,15,12,5,5.666666666666667,32,1457,22.765625,320,181,5,0.071142578125
mergeNumberUpTo9WithBAsTwoAL,speedrun,27,0,0,132,33,4,0,23,1899,70.33333333333333,108,94,4,0.6512345679012346,4,125,25,20,8,4,1.25,27,2024,31.138461538461538,260,135,4,0.11976331360946746
sortRedGreenYellowWhiteBlackGray2AL,speedrun,27,0,0,135,27,5,0,25,1071,42.84,125,118,5,0.34271999999999997,0,0,0,0,0,0,0,27,1071,20.596153846153847,260,145,5,0.07921597633136093
subtractionMissingAUpTo20AL,speedrun,27,0,0,195,39,5,0,24,1827,53.73529411764706,170,158,5,0.31608996539792383,0,0,0,0,0,0,0,27,1827,25.027397260273972,365,197,5,0.06856821167198349
writeLevelSimpleLine2AL,training,25,0,0,140,28,5,0,22,664,30.181818181818183,110,110,5,0.2743801652892562,3,42,8.4,25,9,5,0.33599999999999997,25,706,12.836363636363636,275,147,5,0.046677685950413224
numbersFrom500To999AL,training,30,0,0,270,54,5,0,5,615,102.5,30,30,5,3.4166666666666665,14,1949,72.18518518518519,135,43,5,0.5347050754458161,30,2564,29.471264367816094,435,127,5,0.06775003302946228
matchShapesByObjects2AL,training,24,0,0,120,24,5,0,21,1644,78.28571428571429,105,105,5,0.745578231292517,2,112,56,10,6,5,5.6,24,1756,37.361702127659576,235,135,5,0.15898596650067903
matrixMultiplicationRandomNumbers3AL,training,26,0,0,170,34,5,0,12,2665,156.76470588235293,85,85,5,1.8442906574394462,9,861,95.66666666666667,45,21,5,2.1259259259259258,26,3526,58.766666666666666,300,140,5,0.1958888888888889
summarizeTheSentences1AL,training,24,0,0,220,55,4,0,13,1788,74.5,96,96,4,0.7760416666666666,10,480,32,60,19,4,0.5333333333333333,24,2268,24.127659574468087,376,170,4,0.06416930737890449
dataHandlingIconsBirdsAnimals2AL,training,23,0,0,96,32,3,0,20,1068,39.55555555555556,81,81,3,0.4883401920438957,3,61,20.333333333333332,9,4,3,2.259259259259259,23,1129,18.20967741935484,186,117,3,0.09790149150190774
matchActivitiesWithObject2AL,speedrun,25,0,0,290,29,10,0,16,2090,110,190,173,10,0.5789473684210527,3,337,112.33333333333333,30,23,10,3.744444444444444,25,2427,47.588235294117645,510,225,10,0.09331026528258363
writeLevelSimpleLine2AL,speedrun,22,0,0,110,22,5,0,19,401,21.105263157894736,95,95,5,0.22216066481994462,2,65,32.5,10,7,5,3.25,22,466,10.837209302325581,215,124,5,0.050405624661979447
smallBigFrom1To99NumbersAL,speedrun,20,0,0,155,31,5,0,18,1264,54.95652173913044,115,111,5,0.477882797731569,4,70,17.5,20,7,5,0.875,20,1334,23,290,149,5,0.0793103448275862
matchShapesByObjects2AL,speedrun,21,0,0,105,21,5,0,20,1148,57.4,100,96,5,0.5740000000000001,0,0,0,0,0,0,0,21,1148,28,205,117,5,0.13658536585365852
dataHandlingIconsBirdsAnimals2AL,speedrun,20,0,0,81,27,3,0,19,699,25.88888888888889,81,78,3,0.3196159122085048,0,0,0,0,0,0,0,20,699,12.944444444444445,162,105,3,0.0799039780521262
writeLevel1To52AL,training,19,0,0,95,19,5,0,18,1068,59.333333333333336,90,90,5,0.6592592592592593,1,21,21,5,5,5,4.2,19,1089,28.657894736842106,190,114,5,0.15083102493074793
missingBRandomAAndB50To99AL,training,17,0,0,110,22,5,0,16,1201,66.72222222222223,90,90,5,0.741358024691358,1,95,47.5,10,6,5,4.75,17,1296,30.857142857142858,210,118,5,0.1469387755102041
writeLevel1To52AL,speedrun,18,0,0,90,18,5,0,16,675,42.1875,80,80,5,0.52734375,0,0,0,0,0,0,0,18,675,19.852941176470587,170,98,5,0.11678200692041522
stackTensAndOnes20UpTo502AL,training,17,0,0,115,23,5,0,16,2931,146.55,100,100,5,1.4655,0,0,0,0,0,0,0,17,2931,68.16279069767442,215,123,5,0.31703623580313683
missingBRandomAAndB50To99AL,speedrun,16,0,0,90,18,5,0,10,537,48.81818181818182,55,55,5,0.8876033057851239,4,87,21.75,20,12,5,1.0875,16,624,18.90909090909091,165,85,5,0.11460055096418732
stackTensAndOnes20UpTo502AL,speedrun,16,0,0,100,20,5,0,14,1319,82.4375,80,75,5,1.03046875,0,0,0,0,0,0,0,16,1319,36.638888888888886,180,95,5,0.2035493827160494
summarizeTheSentences1AL,speedrun,13,0,0,96,24,4,0,12,666,33.3,80,80,4,0.41624999999999995,1,71,35.5,8,5,4,4.4375,13,737,16.02173913043478,184,109,4,0.08707466918714556
smallBigUpTo50Number2AL,training,13,0,0,85,17,5,0,11,995,71.07142857142857,70,70,5,1.0153061224489794,1,60,60,5,4,5,12,13,1055,32.96875,160,91,5,0.2060546875
matchEdgesCorners22AL,speedrun,11,0,0,60,12,5,0,11,542,49.27272727272727,55,49,5,0.8958677685950414,1,84,84,5,5,5,16.8,11,626,26.083333333333332,120,66,5,0.21736111111111112
matrixMultiplicationRandomNumbers3AL,speedrun,12,0,0,85,17,5,0,10,1940,129.33333333333334,75,75,5,1.7244444444444444,1,132,132,5,4,5,26.4,12,2072,62.78787878787879,165,96,5,0.38053259871441686
matchEdgesCorners22AL,training,11,0,0,60,12,5,0,11,867,72.25,60,60,5,1.2041666666666666,0,0,0,0,0,0,0,11,867,36.125,120,72,5,0.30104166666666665
smallBigUpTo50Number2AL,speedrun,11,0,0,70,14,5,0,11,621,47.76923076923077,65,62,5,0.7349112426035502,0,0,0,0,0,0,0,11,621,23,135,76,5,0.17037037037037037
fillSubtractionStaticB3UpTo52AL,training,10,0,0,33,11,3,0,8,369,41,27,27,3,1.5185185185185184,1,23,23,3,1,3,7.666666666666667,10,392,18.666666666666668,63,39,3,0.2962962962962963
placeValueMatrix1AL,training,10,0,0,68,17,4,0,8,859,61.357142857142854,56,56,4,1.0956632653061225,1,18,18,4,1,4,4.5,10,877,27.40625,128,74,4,0.214111328125
givenSmartChartScale6AL,training,9,0,0,72,12,6,0,5,500,100,30,30,6,3.3333333333333335,4,945,189,30,8,6,6.3,9,1445,65.68181818181819,132,50,6,0.4975895316804408
patternBasicFoods2AL,training,9,0,0,50,10,5,0,8,631,70.11111111111111,45,45,5,1.5580246913580247,1,9,9,5,2,5,1.8,9,640,32,100,57,5,0.32
reviseDivideTable8And9AL,training,9,0,0,120,12,10,0,8,996,110.66666666666667,90,90,10,1.2296296296296296,1,24,24,10,1,10,2.4,9,1020,46.36363636363637,220,103,10,0.21074380165289258
groupAdditionOf5AL,training,9,0,0,50,10,5,0,8,887,110.875,40,40,5,2.771875,0,0,0,0,0,0,0,9,887,49.27777777777778,90,50,5,0.5475308641975309
reviseDivideTable8And9AL,speedrun,8,0,0,90,9,10,0,8,571,71.375,80,80,10,0.8921875,1,71,71,10,3,10,7.1,8,642,35.666666666666664,180,92,10,0.19814814814814816
fillSubtractionStaticB3UpTo52AL,speedrun,8,0,0,27,9,3,0,8,194,21.555555555555557,27,27,3,0.7983539094650206,0,0,0,0,0,0,0,8,194,10.777777777777779,54,36,3,0.19958847736625515
groupAdditionOf5AL,speedrun,8,0,0,40,8,5,0,7,414,59.142857142857146,35,33,5,1.689795918367347,1,19,19,5,2,5,3.8,8,433,27.0625,80,43,5,0.33828125
patternBasicFoods2AL,speedrun,8,0,0,45,9,5,0,8,434,54.25,40,40,5,1.35625,0,0,0,0,0,0,0,8,434,25.529411764705884,85,49,5,0.30034602076124567
placeValueMatrix1AL,speedrun,8,0,0,56,14,4,0,8,547,49.72727272727273,44,44,4,1.1301652892561984,0,0,0,0,0,0,0,8,547,21.88,100,58,4,0.2188
cowBananaTable4AL,training,8,0,0,40,8,5,0,6,314,52.333333333333336,30,30,5,1.7444444444444445,1,7,7,5,2,5,1.4,8,321,21.4,75,40,5,0.2853333333333333
numberDiceMatching2AL,training,8,0,0,39,8,4.875,0,6,295,49.166666666666664,29,29,4.833333333333333,1.6954022988505748,1,15,15,5,2,5,3,8,310,20.666666666666668,73,39,4.866666666666666,0.2831050228310502
cowBananaTable4AL,speedrun,6,0,0,30,6,5,0,6,217,36.166666666666664,30,30,5,1.2055555555555555,0,0,0,0,0,0,0,6,217,18.083333333333332,60,36,5,0.3013888888888889
numberDiceMatching2AL,speedrun,6,0,0,29,6,4.833333333333333,0,6,200,33.333333333333336,29,29,4.833333333333333,1.1494252873563218,0,0,0,0,0,0,0,6,200,16.666666666666668,58,35,4.833333333333333,0.28735632183908044
descendingOrdering1to999by50AL,training,6,0,0,30,6,5,0,3,264,88,15,15,5,5.866666666666667,2,129,64.5,10,2,5,6.45,6,393,35.72727272727273,55,23,5,0.6495867768595042
numbersFrom500To999AL,speedrun,5,0,0,30,6,5,0,5,380,76,25,24,5,3.04,1,32,32,5,3,5,6.4,5,412,34.333333333333336,60,33,5,0.5722222222222222
givenSmartChartScale6AL,speedrun,5,0,0,30,5,6,0,5,289,57.8,30,30,6,1.9266666666666665,0,0,0,0,0,0,0,5,289,28.9,60,35,6,0.48166666666666663
greaterSmallerUpTo999OperatorsAL,training,5,0,0,25,5,5,0,2,128,64,10,10,5,6.4,3,96,32,15,9,5,2.1333333333333333,5,224,22.4,50,24,5,0.44800000000000006
matchFractionWithImage4AL,speedrun,5,0,0,25,5,5,0,4,205,51.25,20,20,5,2.5625,1,19,19,5,2,5,3.8,5,224,22.4,50,27,5,0.44800000000000006
matchFractionWithImage4AL,training,5,0,0,25,5,5,0,5,358,71.6,25,25,5,2.864,0,0,0,0,0,0,0,5,358,35.8,50,30,5,0.716
descendingOrdering1to999by50AL,speedrun,3,0,0,15,3,5,0,3,215,71.66666666666667,15,14,5,4.777777777777778,0,0,0,0,0,0,0,3,215,35.833333333333336,30,17,5,1.1944444444444444
multiplication3TableAL,training,2,0,0,6,2,3,0,1,228,228,3,3,3,76,1,33,33,3,3,3,11,2,261,65.25,12,8,3,5.4375
greaterSmallerUpTo999OperatorsAL,speedrun,2,0,0,10,2,5,0,1,80,80,5,5,5,16,0,0,0,0,0,0,0,2,80,26.666666666666668,15,7,5,1.7777777777777777
division4TableAL,speedrun,1,0,0,5,1,5,0,1,67,67,5,5,5,13.4,0,0,0,0,0,0,0,1,67,33.5,10,6,5,3.35
division4TableAL,training,1,0,0,5,1,5,0,1,127,127,5,5,5,25.4,0,0,0,0,0,0,0,1,127,63.5,10,6,5,6.35
multiplication3TableAL,speedrun,1,0,0,3,1,3,0,1,81,81,3,2,3,27,0,0,0,0,0,0,0,1,81,40.5,6,3,3,6.75
stackLivingAndNonLivingThingsAL,training,2,0,0,12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,3,4,0

