# ----------------------------------------
# gd-math-71c48
# Pre-Subscription Phase-Funnel exploration 1
# 20260125-20260325
# ----------------------------------------

Step,Active users,Completion rate,Abandonments,Abandonment rate
1. New Step,3843,0.050481394743689824,3649,0.9495186052563102
2. New Step,194,0,194,1
3. New Step,0,-,-,-

