# ----------------------------------------
# gd-math-71c48
# New Drops Impacts Study Using Copiolot-Free-form 1
# 20251020-20260311
# ----------------------------------------

Event name,LevelData,Score,Totals
App version,Event count,Event count,Event count
,30655,1832,32487,Grand total
v4.3.0,197,14,211
v4.3.12,7749,484,8233
v4.3.15,9140,515,9655
v4.3.19,6590,315,6905
v4.3.2,365,38,403
v4.3.7,6614,466,7080

