# ----------------------------------------
# gd-math-71c48
# Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount,Total users,duration,avgDuration,boardCount,boardIndex,avgBoardCount
simpleIdentifyApparelAndStationery2AL,training,47,0,0,250,50,5,38,1560,39,200,200,5,7,224,32,35,17,5,47,1784,18.391752577319586,485,267,5
stackingDifferentPairsOfSameValue202AL,speedrun,47,0,0,445,89,5,39,3410,52.46153846153846,325,290,5,5,248,41.333333333333336,30,19,5,47,3658,22.8625,800,398,5
fractionMultiplication6AL,training,49,0,0,516,86,6,30,3642,79.17391304347827,276,276,6,10,369,20.5,108,30,6,49,4011,26.74,900,392,6
smallBigFrom1To99NumbersAL,training,44,0,0,440,88,5,20,2513,81.06451612903226,155,155,5,21,924,30.8,150,54,5,44,3437,23.06711409395973,745,297,5
simpleIdentificationFruitsSet1,speedrun,42,0,0,590,59,10,39,2423,50.479166666666664,480,398,10,1,26,26,10,3,10,42,2449,22.675925925925927,1080,460,10
simpleIdentifyApparelAndStationery2AL,speedrun,38,0,0,200,40,5,34,1367,37.97222222222222,180,176,5,2,78,39,10,8,5,38,1445,18.525641025641026,390,224,5
subtractionMissingAUpTo20AL,training,38,0,0,305,61,5,27,4585,117.56410256410257,195,195,5,7,360,45,40,13,5,38,4945,45.78703703703704,540,269,5
stackMultiStickInMultiSlot1To52AL,speedrun,36,0,0,210,42,5,26,3017,111.74074074074075,135,118,5,5,306,61.2,25,13,5,36,3323,44.9054054054054,370,173,5
fractionMultiplication6AL,speedrun,30,0,0,276,46,6,28,2193,60.916666666666664,216,211,6,6,201,28.714285714285715,42,21,6,30,2394,26.89887640449438,534,278,6
sortRedGreenYellowWhiteBlackGray2AL,training,32,0,0,170,34,5,27,1202,44.51851851851852,135,135,5,3,255,85,15,12,5,32,1457,22.765625,320,181,5
introducingStackingInSlot,training,31,0,0,51,51,1,29,199,4.061224489795919,49,49,1,1,21,21,1,1,1,31,220,2.1782178217821784,101,101,1
mergeNumberUpTo9WithBAsTwoAL,speedrun,27,0,0,132,33,4,23,1899,70.33333333333333,108,94,4,4,125,25,20,8,4,27,2024,31.138461538461538,260,135,4
sortRedGreenYellowWhiteBlackGray2AL,speedrun,27,0,0,135,27,5,25,1071,42.84,125,118,5,0,0,0,0,0,0,27,1071,20.596153846153847,260,145,5
subtractionMissingAUpTo20AL,speedrun,27,0,0,195,39,5,24,1827,53.73529411764706,170,158,5,0,0,0,0,0,0,27,1827,25.027397260273972,365,197,5
writeLevelSimpleLine2AL,training,25,0,0,140,28,5,22,664,30.181818181818183,110,110,5,3,42,8.4,25,9,5,25,706,12.836363636363636,275,147,5
numbersFrom500To999AL,training,30,0,0,270,54,5,5,615,102.5,30,30,5,14,1949,72.18518518518519,135,43,5,30,2564,29.471264367816094,435,127,5
matchShapesByObjects2AL,training,24,0,0,120,24,5,21,1644,78.28571428571429,105,105,5,2,112,56,10,6,5,24,1756,37.361702127659576,235,135,5
matrixMultiplicationRandomNumbers3AL,training,26,0,0,170,34,5,12,2665,156.76470588235293,85,85,5,9,861,95.66666666666667,45,21,5,26,3526,58.766666666666666,300,140,5
summarizeTheSentences1AL,training,24,0,0,220,55,4,13,1788,74.5,96,96,4,10,480,32,60,19,4,24,2268,24.127659574468087,376,170,4
dataHandlingIconsBirdsAnimals2AL,training,23,0,0,96,32,3,20,1068,39.55555555555556,81,81,3,3,61,20.333333333333332,9,4,3,23,1129,18.20967741935484,186,117,3
simpleIdentificationFruitsSet3,training,24,0,0,330,33,10,16,1176,61.89473684210526,190,166,10,6,150,25,60,17,10,24,1326,22.862068965517242,580,216,10
writeLevelSimpleLine,training,23,0,0,310,31,10,14,433,28.866666666666667,150,123,10,8,561,43.15384615384615,130,61,10,23,994,16.847457627118644,590,215,10
matchActivitiesWithObject2AL,speedrun,25,0,0,290,29,10,16,2090,110,190,173,10,3,337,112.33333333333333,30,23,10,25,2427,47.588235294117645,510,225,10
simpleIdentificationVegetablesSet1,training,20,0,0,330,33,10,18,2003,105.42105263157895,190,186,10,5,402,50.25,80,33,10,20,2405,40.083333333333336,600,252,10
writeLevelSimpleLine2AL,speedrun,22,0,0,110,22,5,19,401,21.105263157894736,95,95,5,2,65,32.5,10,7,5,22,466,10.837209302325581,215,124,5
matchAudioByColorSet1,training,23,0,0,450,45,10,9,1230,136.66666666666666,90,86,10,10,790,35.90909090909091,220,47,10,23,2020,26.57894736842105,760,178,10
smallBigFrom1To99NumbersAL,speedrun,20,0,0,155,31,5,18,1264,54.95652173913044,115,111,5,4,70,17.5,20,7,5,20,1334,23,290,149,5
matchIntroOne,training,20,0,0,25,25,1,20,128,5.818181818181818,22,22,1,1,8,4,2,2,1,20,136,2.7755102040816326,49,49,1
matchShapesByObjects2AL,speedrun,21,0,0,105,21,5,20,1148,57.4,100,96,5,0,0,0,0,0,0,21,1148,28,205,117,5
