# ----------------------------------------
# gd-math-71c48
# New-Assessment Drop Analysis-Free-form 1
# 20260125-20260325
# ----------------------------------------

,Segment,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Production Only,Totals,Totals,Totals,Totals,Totals
,Event name,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentStarted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentCompleted,segmentDropped,segmentDropped,segmentDropped,segmentDropped,segmentDropped,Totals,Totals,Totals,Totals,Totals
,type,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,assessment,Totals,Totals,Totals,Totals,Totals
levelID,segment,Total users,Event count,boardIndex,avgDuration,avgBoardCount,Total users,Event count,boardIndex,avgDuration,avgBoardCount,Total users,Event count,boardIndex,avgDuration,avgBoardCount,Total users,Event count,boardIndex,avgDuration,avgBoardCount
sortRedGreenYellowWhiteBlackGray2AL,training,32,34,34,0,5,27,27,135,44.51851851851852,5,3,3,12,85,5,32,64,181,22.765625,5
mergeNumberUpTo9WithBAsTwoAL,speedrun,27,33,33,0,4,23,27,94,70.33333333333333,4,4,5,8,25,4,27,65,135,31.138461538461538,4
sortRedGreenYellowWhiteBlackGray2AL,speedrun,27,27,27,0,5,25,25,118,42.84,5,0,0,0,0,0,27,52,145,20.596153846153847,5
subtractionMissingAUpTo20AL,speedrun,27,39,39,0,5,24,34,158,53.73529411764706,5,0,0,0,0,0,27,73,197,25.027397260273972,5
writeLevelSimpleLine2AL,training,25,28,28,0,5,22,22,110,30.181818181818183,5,3,5,9,8.4,5,25,55,147,12.836363636363636,5
numbersFrom500To999AL,training,30,54,54,0,5,5,6,30,102.5,5,14,27,43,72.18518518518519,5,30,87,127,29.471264367816094,5
matchShapesByObjects2AL,training,24,24,24,0,5,21,21,105,78.28571428571429,5,2,2,6,56,5,24,47,135,37.361702127659576,5
matrixMultiplicationRandomNumbers3AL,training,26,34,34,0,5,12,17,85,156.76470588235293,5,9,9,21,95.66666666666667,5,26,60,140,58.766666666666666,5
summarizeTheSentences1AL,training,24,55,55,0,4,13,24,96,74.5,4,10,15,19,32,4,24,94,170,24.127659574468087,4
dataHandlingIconsBirdsAnimals2AL,training,23,32,32,0,3,20,27,81,39.55555555555556,3,3,3,4,20.333333333333332,3,23,62,117,18.20967741935484,3
