# gd-math-71c48
# New Drops Impacts Study
# 20251020-20260311
#
App version,WAU/MAU,DAU/WAU,User engagement,Returning users,Engaged sessions,Engagement rate,Active users,Avg Session Duration (s)
,0.3069330158923249,0.1830766617597101,2234101,6842,14148,0.5770173660715958,12934,113.26,Grand total
v4.3.19,0.3719862227324914,0.1826811087817377,488984,1478,3412,0.3258658490114819,3137,104.69
v4.3.15,0.3118937644341802,0.1856719733432062,672968,2061,4401,0.4995686593657866,4012,110.16
v4.3.12,0.3085735119161838,0.1854362290902307,568230,1609,3295,0.6871478659051258,2982,126.64
v4.3.7,0.3049260347661503,0.1828650767722966,405960,1163,2507,0.7344315008591157,2239,119.40
v4.3.2,0.1292883470371420,0.1539473684210526,65820,328,328,0.6745396497373928,351,101.26
v4.3.0,0.2615990057995029,0.1686460807600950,32139,203,205,0.5405506715506716,213,78.58
