# ----------------------------------------
# gd-math-71c48
# New Impact of Drops on User Engagement-Free-form 4
# 20251020-20260311
# ----------------------------------------

type,levelStaged,levelStarted,levelCompleted,levelDropped,levelFailed,Totals
Month,Event count,Event count,Event count,Event count,Event count,Event count
,20105,19130,9990,6069,321,55615,Grand total
12,4312,3885,2356,1198,95,11846
11,3847,3662,2166,1155,62,10892
10,1743,1684,656,715,42,4840
03,1247,1209,620,361,24,3461
02,4084,3941,1976,1168,40,11209
01,4872,4749,2216,1472,58,13367

